title,url,description
Beyoncé showcases her incredible figure in plunging white dress with thigh-high leg slit as she promotes her new haircare brand Cécred,https://www.dailymail.co.uk/tvshowbiz/article-13108775/Beyonce-figure-plunging-dress-leg-slit-haircare-brand.html,Beyoncé has shown off her flawless beauty in a new photo to promote her brand new haircare range.
Radio 1 listeners in shock as sex noises are played on Greg James' show: 'Were my ears playing tricks on me?',https://www.dailymail.co.uk/tvshowbiz/article-13108329/radio-1-sex-noise-prank-greg-james-breakfast-show.html,BBC Radio 1 listeners were left choking on their cornflakes on Wednesday morning as sex noises were blared out on the airwaves. 
"TOWIE's Dan Edgar, 33, and Ella Rae Wise, 23, put on a loved-up display during trip as romance blossoms between the pair during trip to Bali",https://www.dailymail.co.uk/tvshowbiz/article-13108013/TOWIEs-Dan-Edgar-33-Ella-Rae-Wise-23-loved-display-trip-romance-blossoms-pair-trip-Bali.html,Dan Edgar and Ella Rae Wise put on a loved-up display during a sun-kissed trip to Bali ahead of the new series.
Bradley Cooper recalls 'crazy' pitch meeting at Beyonce's home for a role in A Star Is Born and says her husband Jay-Z was 'watching Judge Judy',https://www.dailymail.co.uk/tvshowbiz/article-13107689/Bradley-Cooper-recalls-crazy-meeting-Beyonce-Jay-Zs-home.html,Bradley Cooper discussed the 'crazy' experience he had of meeting Beyonce and her husband Jay-Z while pitching the singer a movie role. 
Margaret Qualley and Beanie Feldstein stun in chic floor-length frocks at the Drive-Away Dolls premiere in NYC,https://www.dailymail.co.uk/tvshowbiz/article-13107045/Margaret-Qualley-Beanie-Feldstein-Drive-Away-Dolls-premiere-NYC.html,Margaret Qualley and Beanie Feldstein were dressed to the nines on Tuesday night as they led stars at the New York City premiere of their new film Drive-Away Dolls.
Selena Gomez puts on a busty display in a LBD teamed with a chic head scarf as she heads to dinner in Paris,https://www.dailymail.co.uk/tvshowbiz/article-13106099/Selena-Gomez-puts-busty-display-LBD-teamed-chic-head-scarf-heads-dinner-Paris.html,Selena Gomez looked timelessly elegant as she headed to dinner in Paris on Monday evening.
"This Might Not Be It review: Behind the Perspex partition - a sweetly hopeful look at the NHS's mental health care system, writes PATRICK MARMION",https://www.dailymail.co.uk/tvshowbiz/article-13063695/bush-theatre-review-london-patrick-marmion.html,"This Might Not Be It (Bush Theatre, London)"
Beyoncé showcases her incredible figure in plunging white dress with thigh-high leg slit as she promotes her new haircare brand Cécred,https://www.dailymail.co.uk/tvshowbiz/article-13108775/Beyonce-figure-plunging-dress-leg-slit-haircare-brand.html,Beyoncé has shown off her flawless beauty in a new photo to promote her brand new haircare range.
Radio 1 listeners in shock as sex noises are played on Greg James' show: 'Were my ears playing tricks on me?',https://www.dailymail.co.uk/tvshowbiz/article-13108329/radio-1-sex-noise-prank-greg-james-breakfast-show.html,BBC Radio 1 listeners were left choking on their cornflakes on Wednesday morning as sex noises were blared out on the airwaves. 
"TOWIE's Dan Edgar, 33, and Ella Rae Wise, 23, put on a loved-up display during trip as romance blossoms between the pair during trip to Bali",https://www.dailymail.co.uk/tvshowbiz/article-13108013/TOWIEs-Dan-Edgar-33-Ella-Rae-Wise-23-loved-display-trip-romance-blossoms-pair-trip-Bali.html,Dan Edgar and Ella Rae Wise put on a loved-up display during a sun-kissed trip to Bali ahead of the new series.
