title,url,description
"Wendy Williams, 59, is diagnosed with frontotemporal dementia and speech-affecting aphasia - the same condition as Bruce Willis - amid health battle",https://www.dailymail.co.uk/tvshowbiz/article-13114285/Wendy-Williams-diagnosed-frontotemporal-dementia-aphasia.html,"Wendy Williams has been diagnosed with frontotemporal dementia and primary progressive aphasia, it was confirmed Thursday."
Wendy Williams' family speaks out on 'shocking' health struggles ahead of documentary highlighting alcohol abuse... as she remains in treatment facility,https://www.dailymail.co.uk/tvshowbiz/article-13109015/Wendy-Williams-family-speaks-shocking-heartbreaking-health-struggles-ahead-documentary-highlighting-alcohol-abuse-remains-treatment-facility.html,Wendy Williams' family members are breaking their silence nearly three years after she last hosted an episode of her eponymous talk show.
Maya Jama stuns in a semi-sheer cut-out dress after changing out of a silver jumpsuit as she attends two Milan Fashion Week shows and visits third country in 24 hours,https://www.dailymail.co.uk/tvshowbiz/article-13110097/Maya-Jama-stuns-silver-jumpsuit-star-studded-FROW-Alberta-Ferretti-Milan-Fashion-Week-visits-country-24-hours.html,"Maya Jama is the ultimate jet-setter at the moment as she hit Milan after spending less than 24 hours in the UK, following her return from South Africa."
"Inter Miami 2-0 Real Salt Lake: Lionel Messi, Luis Suarez and David Beckham's star-studded squad win on MLS' opening night
Made hard work of it ",https://www.dailymail.co.uk/sport/football/article-13111667/Inter-Miami-2-0-Real-Salt-Lake-Lionel-Messi-Luis-Suarez.html,"From San Diego, Los Angeles and even Colombia, they flocked down to South Florida to watch Lionel Messi and Inter Miami begin the first full season of their still-inconceivable partnership."
"Wendy Williams, 59, is diagnosed with frontotemporal dementia and speech-affecting aphasia - the same condition as Bruce Willis - amid health battle",https://www.dailymail.co.uk/tvshowbiz/article-13114285/Wendy-Williams-diagnosed-frontotemporal-dementia-aphasia.html,"Wendy Williams has been diagnosed with frontotemporal dementia and primary progressive aphasia, it was confirmed Thursday."
Wendy Williams' family speaks out on 'shocking' health struggles ahead of documentary highlighting alcohol abuse... as she remains in treatment facility,https://www.dailymail.co.uk/tvshowbiz/article-13109015/Wendy-Williams-family-speaks-shocking-heartbreaking-health-struggles-ahead-documentary-highlighting-alcohol-abuse-remains-treatment-facility.html,Wendy Williams' family members are breaking their silence nearly three years after she last hosted an episode of her eponymous talk show.
Maya Jama stuns in a semi-sheer cut-out dress after changing out of a silver jumpsuit as she attends two Milan Fashion Week shows and visits third country in 24 hours,https://www.dailymail.co.uk/tvshowbiz/article-13110097/Maya-Jama-stuns-silver-jumpsuit-star-studded-FROW-Alberta-Ferretti-Milan-Fashion-Week-visits-country-24-hours.html,"Maya Jama is the ultimate jet-setter at the moment as she hit Milan after spending less than 24 hours in the UK, following her return from South Africa."
"Inter Miami 2-0 Real Salt Lake: Lionel Messi, Luis Suarez and David Beckham's star-studded squad win on MLS' opening night
Made hard work of it ",https://www.dailymail.co.uk/sport/football/article-13111667/Inter-Miami-2-0-Real-Salt-Lake-Lionel-Messi-Luis-Suarez.html,"From San Diego, Los Angeles and even Colombia, they flocked down to South Florida to watch Lionel Messi and Inter Miami begin the first full season of their still-inconceivable partnership."
"Wendy Williams, 59, is diagnosed with frontotemporal dementia and speech-affecting aphasia - the same condition as Bruce Willis - amid health battle",https://www.dailymail.co.uk/tvshowbiz/article-13114285/Wendy-Williams-diagnosed-frontotemporal-dementia-aphasia.html,"Wendy Williams has been diagnosed with frontotemporal dementia and primary progressive aphasia, it was confirmed Thursday."
Wendy Williams' family speaks out on 'shocking' health struggles ahead of documentary highlighting alcohol abuse... as she remains in treatment facility,https://www.dailymail.co.uk/tvshowbiz/article-13109015/Wendy-Williams-family-speaks-shocking-heartbreaking-health-struggles-ahead-documentary-highlighting-alcohol-abuse-remains-treatment-facility.html,Wendy Williams' family members are breaking their silence nearly three years after she last hosted an episode of her eponymous talk show.
Maya Jama stuns in a semi-sheer cut-out dress after changing out of a silver jumpsuit as she attends two Milan Fashion Week shows and visits third country in 24 hours,https://www.dailymail.co.uk/tvshowbiz/article-13110097/Maya-Jama-stuns-silver-jumpsuit-star-studded-FROW-Alberta-Ferretti-Milan-Fashion-Week-visits-country-24-hours.html,"Maya Jama is the ultimate jet-setter at the moment as she hit Milan after spending less than 24 hours in the UK, following her return from South Africa."
"Inter Miami 2-0 Real Salt Lake: Lionel Messi, Luis Suarez and David Beckham's star-studded squad win on MLS' opening night
Made hard work of it ",https://www.dailymail.co.uk/sport/football/article-13111667/Inter-Miami-2-0-Real-Salt-Lake-Lionel-Messi-Luis-Suarez.html,"From San Diego, Los Angeles and even Colombia, they flocked down to South Florida to watch Lionel Messi and Inter Miami begin the first full season of their still-inconceivable partnership."
"Wendy Williams, 59, is diagnosed with frontotemporal dementia and speech-affecting aphasia - the same condition as Bruce Willis - amid health battle",https://www.dailymail.co.uk/tvshowbiz/article-13114285/Wendy-Williams-diagnosed-frontotemporal-dementia-aphasia.html,"Wendy Williams has been diagnosed with frontotemporal dementia and primary progressive aphasia, it was confirmed Thursday."
Wendy Williams' family speaks out on 'shocking' health struggles ahead of documentary highlighting alcohol abuse... as she remains in treatment facility,https://www.dailymail.co.uk/tvshowbiz/article-13109015/Wendy-Williams-family-speaks-shocking-heartbreaking-health-struggles-ahead-documentary-highlighting-alcohol-abuse-remains-treatment-facility.html,Wendy Williams' family members are breaking their silence nearly three years after she last hosted an episode of her eponymous talk show.
Maya Jama stuns in a semi-sheer cut-out dress after changing out of a silver jumpsuit as she attends two Milan Fashion Week shows and visits third country in 24 hours,https://www.dailymail.co.uk/tvshowbiz/article-13110097/Maya-Jama-stuns-silver-jumpsuit-star-studded-FROW-Alberta-Ferretti-Milan-Fashion-Week-visits-country-24-hours.html,"Maya Jama is the ultimate jet-setter at the moment as she hit Milan after spending less than 24 hours in the UK, following her return from South Africa."
"Inter Miami 2-0 Real Salt Lake: Lionel Messi, Luis Suarez and David Beckham's star-studded squad win on MLS' opening night
Made hard work of it ",https://www.dailymail.co.uk/sport/football/article-13111667/Inter-Miami-2-0-Real-Salt-Lake-Lionel-Messi-Luis-Suarez.html,"From San Diego, Los Angeles and even Colombia, they flocked down to South Florida to watch Lionel Messi and Inter Miami begin the first full season of their still-inconceivable partnership."
"Wendy Williams, 59, is diagnosed with frontotemporal dementia and speech-affecting aphasia - the same condition as Bruce Willis - amid health battle",https://www.dailymail.co.uk/tvshowbiz/article-13114285/Wendy-Williams-diagnosed-frontotemporal-dementia-aphasia.html,"Wendy Williams has been diagnosed with frontotemporal dementia and primary progressive aphasia, it was confirmed Thursday."
Wendy Williams' family speaks out on 'shocking' health struggles ahead of documentary highlighting alcohol abuse... as she remains in treatment facility,https://www.dailymail.co.uk/tvshowbiz/article-13109015/Wendy-Williams-family-speaks-shocking-heartbreaking-health-struggles-ahead-documentary-highlighting-alcohol-abuse-remains-treatment-facility.html,Wendy Williams' family members are breaking their silence nearly three years after she last hosted an episode of her eponymous talk show.
Maya Jama stuns in a semi-sheer cut-out dress after changing out of a silver jumpsuit as she attends two Milan Fashion Week shows and visits third country in 24 hours,https://www.dailymail.co.uk/tvshowbiz/article-13110097/Maya-Jama-stuns-silver-jumpsuit-star-studded-FROW-Alberta-Ferretti-Milan-Fashion-Week-visits-country-24-hours.html,"Maya Jama is the ultimate jet-setter at the moment as she hit Milan after spending less than 24 hours in the UK, following her return from South Africa."
"Inter Miami 2-0 Real Salt Lake: Lionel Messi, Luis Suarez and David Beckham's star-studded squad win on MLS' opening night
Made hard work of it ",https://www.dailymail.co.uk/sport/football/article-13111667/Inter-Miami-2-0-Real-Salt-Lake-Lionel-Messi-Luis-Suarez.html,"From San Diego, Los Angeles and even Colombia, they flocked down to South Florida to watch Lionel Messi and Inter Miami begin the first full season of their still-inconceivable partnership."
"Wendy Williams, 59, is diagnosed with frontotemporal dementia and speech-affecting aphasia - the same condition as Bruce Willis - amid health battle",https://www.dailymail.co.uk/tvshowbiz/article-13114285/Wendy-Williams-diagnosed-frontotemporal-dementia-aphasia.html,"Wendy Williams has been diagnosed with frontotemporal dementia and primary progressive aphasia, it was confirmed Thursday."
